,Area,Location,No. of Bedrooms,New/Resale,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Clubhouse,Gas Connection,Price_in_Lakhs
2786,797,Mulund West,2,1,1,1,0,1,1,0,191.0
2787,885,Mulund West,3,1,0,0,0,1,0,0,221.0
2788,759,Mulund West,2,1,1,1,0,1,1,0,182.0
2789,835,Mulund West,2,1,1,1,0,1,1,0,200.0
2790,729,Mulund West,2,1,1,1,0,1,1,0,175.0
2791,1740,Mulund West,3,1,1,1,0,1,1,0,313.0
2792,2160,Mulund West,3,1,1,1,0,1,1,0,388.0
2793,1690,Mulund West,3,1,1,1,0,1,1,0,304.0
2794,1960,Mulund West,3,1,1,1,0,1,1,0,352.0
2795,1475,Mulund West,2,1,1,1,0,1,1,0,265.0
2796,1165,Mulund West,2,1,1,1,0,1,1,0,209.0
2797,1072,Mulund West,3,1,0,0,0,0,0,0,246.0
2798,1126,Mulund West,3,1,0,0,0,0,0,0,258.0
2799,1080,Mulund West,3,1,0,0,0,0,0,0,248.0
2800,1600,Mulund West,3,1,1,0,0,0,1,1,260.0
2801,700,Mulund West,2,1,1,0,0,0,0,0,137.99999
2802,650,Mulund West,1,0,1,0,0,0,1,1,110.0
2803,1000,Mulund West,2,0,1,0,0,0,0,1,175.0
2804,1050,Mulund West,2,0,1,0,0,0,0,0,210.0
2805,1350,Mulund West,3,1,1,0,0,0,0,0,225.0
2806,500,Mulund West,1,0,1,0,0,0,0,1,100.0
2807,1001,Mulund West,3,0,1,1,0,1,1,0,237.0
2808,650,Mulund West,2,1,1,0,0,0,0,1,165.0
2809,850,Mulund West,2,1,0,0,0,0,0,0,180.0
2810,850,Mulund West,2,1,1,0,0,0,0,1,165.0
2811,644,Mulund West,1,0,1,1,0,1,1,1,106.0
2812,1400,Others,3,0,0,1,1,0,0,0,150.0
2813,685,Others,1,0,1,1,1,1,1,0,43.0
2814,530,Others,1,0,1,1,1,1,0,0,33.0
2815,1115,Others,2,0,0,1,1,0,0,0,55.0
2816,525,Others,1,0,1,1,1,1,0,0,28.0
2817,810,Others,2,0,1,1,0,1,0,0,80.0
2818,785,Others,2,0,1,1,0,0,0,0,100.0
2819,1500,Others,3,0,0,1,0,1,0,0,190.0
2820,1503,Others,3,0,0,1,0,1,0,0,190.0
2821,457,Others,1,0,1,1,1,0,0,0,45.0
2822,1237,Others,3,1,1,1,0,1,0,0,361.0
2823,500,Naigaon East,1,0,1,1,0,1,0,0,22.0
2824,500,Naigaon East,1,0,1,1,0,1,0,0,23.0
2825,510,Naigaon East,1,1,1,1,1,1,1,0,32.0
2826,565,Naigaon East,1,1,1,1,0,1,0,0,24.0
2827,540,Naigaon East,1,1,1,1,1,1,1,0,27.0
2828,565,Naigaon East,1,1,1,1,0,1,0,0,24.0
2829,540,Naigaon East,1,0,1,1,1,1,0,0,23.5
2830,750,Naigaon East,1,1,1,1,0,1,0,0,43.0
2831,585,Naigaon East,1,1,1,1,0,1,1,0,32.0
2832,500,Naigaon East,1,0,1,1,1,1,0,0,23.0
2833,585,Naigaon East,1,1,1,1,0,1,1,0,32.5
2834,453,Naigaon East,1,0,1,1,0,1,0,0,25.0
2835,500,Naigaon East,1,0,1,1,1,1,1,0,24.5
2836,605,Naigaon East,1,0,1,1,1,1,1,0,30.0
2837,710,Naigaon East,2,0,1,1,0,1,1,0,45.0
2838,510,Naigaon East,1,0,1,1,1,1,1,0,28.0
2839,590,Naigaon East,1,1,1,1,1,1,1,0,27.5
2840,560,Naigaon East,1,1,1,1,0,1,1,0,26.5
2841,600,Naigaon East,1,0,1,1,1,1,0,0,27.0
2842,500,Naigaon East,1,1,1,1,1,1,1,0,22.0
2843,925,Naigaon East,1,0,1,1,0,0,0,0,37.0
2844,500,Naigaon East,1,0,1,1,0,1,0,0,20.5
2845,610,Naigaon East,1,0,1,1,0,1,1,0,32.0
2846,560,Naigaon East,1,0,1,0,0,0,0,0,25.0
2847,510,Naigaon East,1,0,1,0,0,0,0,0,20.0
2848,615,Naigaon East,1,0,1,0,0,1,0,0,32.0
2849,615,Naigaon East,1,0,1,0,0,1,0,0,32.0
2850,510,Naigaon East,1,0,0,0,0,0,0,0,23.0
2851,510,Naigaon East,1,0,1,0,0,0,0,0,23.0
2852,850,Naigaon East,2,0,1,0,0,0,0,0,39.5
2853,770,Naigaon East,2,0,1,0,0,0,0,0,35.0
2854,500,Naigaon East,1,0,0,0,0,0,0,0,23.0
2855,500,Naigaon East,1,0,1,1,1,1,1,0,26.0
2856,540,Naigaon East,1,0,1,1,0,1,1,0,31.0
2857,600,Naigaon East,1,0,1,1,0,1,1,0,32.0
2858,585,Naigaon East,1,0,1,1,0,1,1,0,31.0
2859,600,Naigaon East,1,0,1,0,0,1,0,0,35.0
2860,585,Naigaon East,1,0,1,0,0,1,1,0,33.0
2861,585,Naigaon East,1,0,1,0,0,1,1,0,35.0
2862,585,Naigaon East,1,0,1,0,0,1,0,0,34.0
2863,500,Naigaon East,1,0,1,1,1,1,1,0,25.0
2864,500,Naigaon East,1,0,1,1,1,1,1,0,25.0
2865,585,Naigaon East,1,0,1,0,0,1,1,0,35.0
2866,750,Naigaon East,1,0,1,0,0,1,0,0,39.0
